index,repair_date,repair_cafe_number,repair_cafe_name,country,kind_of_product,category,brand,repaired,repairability
23438,2019-11-16,102,Steenwijkerland,NL,Electric hedge trimmer,Tools electric,Black+Decker,no,7.0
23439,2024-10-12,360,Santpoort-Zuid,NL,Electric drill / Power drill,Tools electric,Black+Decker,half,9.0
23440,2023-09-02,9,Assen,NL,Sander,Tools electric,Black+Decker,yes,8.0
23441,2024-10-14,777,Jacksons Hill - City of Hume,AU,Garden vacuum,Tools electric,Black+Decker,yes,10.0
23442,2017-11-18,21,Nijmegen-Oost,NL,Electric drill / Power drill,Tools electric,Black+Decker,no,5.0
23443,2025-01-25,538,Nuenen,NL,Handheld vacuum cleaner,Household appliances electric,Black+Decker,yes,7.0
23444,2024-09-26,607,Kenilworth,GB,Sander,Tools electric,Black+Decker,no,8.0
23445,2022-04-09,156,Bourgoin-Jallieu,FR,Steam cleaner,Household appliances electric,Black+Decker,yes,9.0
23446,2024-12-09,192,Moordrecht,NL,Jigsaw tool,Tools electric,Black+Decker,half,8.0
23447,2022-11-19,293,Magny-les-Hameaux,FR,Vacuum cleaner,Household appliances electric,Black+Decker,yes,5.0
23448,2019-12-07,15,Nieuwegein,NL,Angle grinder / Disc cutter,Tools electric,Black+Decker,yes,6.0
23449,2019-07-04,4,Capelle aan den IJssel,NL,Electric hedge trimmer,Tools electric,Black+Decker,no,7.0
23450,2019-10-03,4,Capelle aan den IJssel,NL,Jigsaw tool,Tools electric,Black+Decker,no,1.0
23451,2018-01-12,10,Bodegraven,NL,Electric drill / Power drill,Tools electric,Black+Decker,yes,9.0
23452,2019-02-15,36,Zwolle-Aa-landen,NL,Handheld vacuum cleaner,Household appliances electric,Black+Decker,no,1.0
23453,2025-01-08,412,Terheijden,NL,Handheld vacuum cleaner,Household appliances electric,Black+Decker,no,7.0
23454,2017-09-15,10,Bodegraven,NL,Lawn mower / lawn raker,Tools electric,Black+Decker,yes,9.0
23455,2023-01-25,412,Terheijden,NL,Multitool,Tools electric,Black+Decker,no,7.0
23456,2020-01-18,102,Steenwijkerland,NL,Electric drill / Power drill,Tools electric,Black+Decker,yes,7.0
23457,2022-03-19,381,Saint Vivien 17220,FR,Straight grinder,Tools electric,Black+Decker,yes,9.0
23458,2018-09-01,7,Oirsbeek,NL,Tacker,Tools electric,Black+Decker,no,2.0
23459,2019-09-14,146,Weymouth,GB,Angle grinder / Disc cutter,Tools electric,Black+Decker,no,1.0
